video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=pgIBoILPmR8&pp=ygUGbWF0Y2hh,/@Purematchateas,Purematchateas,🍵How to Make Matcha Green Tea - The Right Way 🍵,258K,3 years,Follow these simple steps to prepare Matcha this simple way. This easy-to-follow tutorial introduces all the tools and techniques ...,2024-01-24 23:19:58.972964
/watch?v=KlFXl--H8eM&pp=ygUGbWF0Y2hh,/@BusinessInsider,Business Insider,Why Ceremonial-Grade Matcha Is So Expensive | So Expensive Food | Business Insider,3.8M,1 year,"The greener matcha is, the smoother and more complex its flavor. But not all matcha is the same. Matcha at its highest quality is ...",2024-01-24 23:19:58.977032
/shorts/_yEQCyKmLzQ,/@Ethanrodecoffee,Ethan Rode,Costco Matcha vs. Fancy Matcha #matcha #coffee,773K,11 months,Is this 25 bag of matcha from Costco just as good as this 25 container of ceremonial grade matcha I'm gonna make an iced ...,2024-01-24 23:19:58.979518
/watch?v=0cMV94EwR2U&pp=ygUGbWF0Y2hh,/@morgandrinkscoffee,Morgan Eckroth,"If You Don’t Like Matcha, Watch This Video",322K,6 months,— Infused simple syrup video here: https://youtu.be/IG90C4xAWqE.,2024-01-24 23:20:09.683409
/shorts/QW4tkfDHpXE,/@thegoldenbalance,The Golden Balance,MATCHA ICED LATTE | THE GOLDEN BALANCE,904K,2 years,shorts.,2024-01-24 23:20:09.692207
/shorts/2UNdz19ah2o,/@morocooks,morocooks,Homemade Iced Matcha Latte VS Starbucks (1/8 the price!),2.3M,10 months,Make it or buy it iced matcha latte I get real awkward ordering at Starbucks so let's see if it's worth making my favorite drink at ...,2024-01-24 23:20:09.694912
/watch?v=C-2aMb-O7AE&pp=ygUGbWF0Y2hh,/@chamberlaincoffee,Chamberlain Coffee,how to make a matcha latte (with emma chamberlain),96K,2 weeks,make a hot or iced matcha latte with emma chamberlain using chamberlain coffee matcha powder find us: website: ...,2024-01-24 23:20:09.697659
/watch?v=N62KlvhdA54&pp=ygUGbWF0Y2hh,/@JREClips,JRE Clips,Dr. Andrew Weil Explains the Benefits of Matcha Tea to Joe Rogan,332K,5 years,Taken from Joe Rogan Experience #1213: https://youtu.be/WjYYdMNUXF8.,2024-01-24 23:20:09.708981
/watch?v=bjsv1Ix3Bgk&pp=ygUGbWF0Y2hh,/@Nioteas,Nioteas TV,How to Make Matcha - 4 Easy Steps to Make the Best Matcha Tea,109K,1 year,"We're also going to talk about why each step matters, and how it leads to a better tasting matcha. Later on, we'll get into more ...",2024-01-24 23:20:09.712717
/watch?v=R1H-FdkKVjw&pp=ygUGbWF0Y2hh,/@TIME,TIME,Should You Drink Matcha? What You Should Know About The Powerful Cancer-Fighting Antioxidant | TIME,88K,5 years,"ABOUT TIME TIME brings unparalleled insight, access and authority to the news. A 24/7 news publication with nearly a century of ...",2024-01-24 23:20:09.721608
/watch?v=4rwK8Z9b2dY&pp=ygUGbWF0Y2hh,/@HealthlineMedia,Healthline,4 Evidence-Based Benefits of Matcha Tea,324K,5 years,"Matcha has skyrocketed in popularity lately, with matcha shots, lattes, teas and even desserts appearing everywhere from health ...",2024-01-24 23:20:09.730618
/watch?v=fJgowk_V8XY&pp=ygUGbWF0Y2hh,/@Nioteas,Nioteas TV,10 Health Benefits of Matcha Tea - Matcha Tea Benefits Benefits Explained,120K,1 year,3 Additional Matcha Benefits 08:32 Matcha Tea is Easy to Prepare 08:56 Matcha Tea Has a Strong Taste 09:26 Matcha Tea is ...,2024-01-24 23:20:09.734533
/shorts/rcyw_ncDvn4,/@maisyleigh,Maisy Leigh,how i make my daily matcha latte 😋🍵💛 #matcha #matchalatte #aesthetic #matcharecipes,214K,8 months,how i make my daily matcha latte how do you like your matcha? matcha bowl is from @thehomebodiesco ! it's by my lovely ...,2024-01-24 23:20:09.745434
/shorts/617lMfsCGrA,/@Ethanrodecoffee,Ethan Rode,What Is Matcha? #matcha,462K,11 months,This is matcha and it's actually just green tea leaves that have been ground into a fine powder it's a refreshing and an uplifting ...,2024-01-24 23:20:09.748302
/watch?v=OmcQcV_FdXY&pp=ygUGbWF0Y2hh,/@TheDoctors,The Doctors,Matcha: Trendy but Is It Healthy?,220K,6 years,"Matcha-infused products are gaining popularity, but does it have any health benefits? Subscribe to The Doctors: ...",2024-01-24 23:20:09.750981
/shorts/KVMLtswDMQM,/@Veggiekins,Veggiekins,Avoid This Type of Milk With Your Matcha Latte 🙅🏻‍♀️,1M,1 year,"The answer, if you ask me, is any plant milk you like BUT I would not recommend dairy milk, and I promise I'm not just saying that ...",2024-01-24 23:20:09.755247
/shorts/psrGTG9Q4Xs,/@jasmineandtea,jasmineandtea,a cup of matcha in the morning,369K,1 year,I really like to start my day with a cup of matcha — it's such a relaxing process to make and I definitely feel a boost of energy ...,2024-01-24 23:20:09.765490
/watch?v=bDTviImOjl4&pp=ygUGbWF0Y2hh,/@Drberg,Dr. Eric Berg DC,Use Matcha Tea As Coffee Alternative – Dr. Berg,212K,5 years,Are you looking for a reason to replace coffee with matcha tea? This video's for you. 0:00 Introduction: Matcha tea as a coffee ...,2024-01-24 23:20:09.769275
/watch?v=JgZ268K4wkg&pp=ygUGbWF0Y2hh,/@WhiteMusic,OfficialWhiteMusic,MATCHA (มัจฉา) - Music Lover (ซนซน 40 ปี GMM Grammy)[Track Video],1.4M,1 month,MATCHA (มัจฉา) - Music Lover (ซนซน 40 ปี GMM Grammy)[Track Video] EXECUTIVE PRODUCER : Mook-Ake Chongmankhong ...,2024-01-24 23:20:09.772055
/shorts/GivgJ9HDn5E,/@Ethanrodecoffee,Ethan Rode,How I Make Matcha #matcha,131K,11 months,As of late my daily routine is coffee in the morning matcha at night so I'm going to show you how I make my matcha all right so we ...,2024-01-24 23:20:09.781393
/shorts/MzIen6fSQwA,/@jasmineandtea,jasmineandtea,making a matcha latte at home 🍵,4.3M,1 year,matcha latte at home ~ Making myself a cup of matcha is one of the things I look forward to most in the morning. It's almost ...,2024-01-24 23:20:17.408402
/shorts/Od2p0PQ5OP4,/@Veggiekins,Veggiekins,The Best Homemade Matcha Latte,400K,11 months,Matcha sale has ended* Making my matcha a different way every morning to give you fun ideas! You can do so much more than ...,2024-01-24 23:20:17.411295
/watch?v=iduPssTUirY&pp=ygUGbWF0Y2hh,/@SamuraiMatcha,Samurai Matcha,7 most effective ways to let go of things as a Japanese minimalist.,44K,4 days,"This video would be perfect for those of you, who can't throw things away, by guiding to the 7 most effective ways that I ...",2024-01-24 23:20:17.415898
/shorts/2iI480IrESA,/@slimeshadyshop,slimeshadyshop,Mixing Matcha and SLIME... 😱,4K,4 hours,Order slime at: www.slimeshadystore.com Instagram: slimeshadyshop #slime #satisfying #oddlysatisfying #slimerestock #tiktok ...,2024-01-24 23:20:17.419354
/shorts/fSvGAUf9Hzk,/@Greencaffeine,Green Caffeine Matcha,How to make Matcha the traditional Japanese way 🇯🇵,53K,1 year,This is how you prepare matcha ceremonies the traditional Japanese way first you will need to soak the bamboo whisk in warm ...,2024-01-24 23:20:17.423564
/shorts/o6TOzcqugTs,/@Bento_Club,Bento Club,You Can Make a Matcha Frappe in Japan,180K,9 months,shorts #matcha #frappe.,2024-01-24 23:20:17.431842
/shorts/2xOZ2P-5ryw,/@TheKurtaGuy,The Kurta Guy,What is Matcha? Ft. @YourMatchaMommy  🍵 #shorts #food,1.2M,5 days,Want to try Matcha? . Go follow me on Instagram for more daily updates https://www.instagram.com/thekurtaguy/,2024-01-24 23:20:17.435396
/watch?v=FimqGwjQbdE&pp=ygUGbWF0Y2hh,/@BeautifulCrunches,BeautifulCrunches,"ASMR ICE EATING WITH HEAVY MATCHA GREEN TEA POWDER, SHAVED ICE, CRUNCHY ICE, FOAM ICE, ICE EATING",648,5 hours,DON'T FORGET TO SUBSCRIBE TO MY CHANNEL #iceeating #iceeatingasmr #matchaice #matchapowder #matchaiceeating ...,2024-01-24 23:20:17.438402
/watch?v=MA6AuFlECv4&pp=ygUGbWF0Y2hh,/@linhice,Linh Ice asmr,ASMR COATED MATCHA POWDER ICE EATING กินน้ำแข็ง 💚🍵 DRY BLOCK ICE & ICE CRUNCH 녹차 | Матча | 抹茶,344,6 hours,ASMR COATED MATCHA POWDER ICE EATING กินน้ำแข็ง DRY BLOCK ICE & ICE CRUNCH 녹차 | Матча | 抹茶 More ice ...,2024-01-24 23:20:17.456297
/watch?v=guHQQ9DP6VQ&pp=ygUGbWF0Y2hh,/@pilyaasmr541,PASSION FRUIT ICE & MATCHA ICE,shaved ice eating matcha ice eating,731,15 hours,iceeating #shavedice #matchaice #matchaiceeating.,2024-01-24 23:20:17.463913
/watch?v=LNoCucPvazI&pp=ygUGbWF0Y2hh,/@bestrelaxingvideoschannel,Best Relaxing Videos,[ASMR] HEAVY MATCHA POWDERED ICE EATING MATCHA ASMR & ماتشا مثلج الأكل & MATCHA PASTE MUKBANG 🍵🤤21,785,8 hours,matchaiceeating #iceeating #iceeatingasmr #asmr #crunchice #crystalice #cruncheating #softice #buzyemevideoları #buzyemek ...,2024-01-24 23:20:17.467248
/watch?v=YB4sHXP8aQk&pp=ygUGbWF0Y2hh,/@ASMRICECRUNCH,ASMRICE CRUNCH,RELAXING SOUND OF EATING ASMR/PASSIONFRUIT/ MATCHA/ MILK POWDER #asmr #relaxing #eating,2K,18 hours,please enjoy the video and support me by donating on my PayPal. The link is on my bio and here ...,2024-01-24 23:20:17.470511
/watch?v=bP3XqUcOjTI&pp=ygUGbWF0Y2hh,/@Alibabatech-rw2qo,GOLD ICE,ASMR SHAVED ICE EATING MATCHA ICE EATING MILK POWDER PASSION,782,7 hours,iceeating.,2024-01-24 23:20:17.473501
/watch?v=JvVETa98atE&pp=ygUGbWF0Y2hh,/@bestrelaxingvideoschannel,Best Relaxing Videos,[ASMR] HEAVY MATCHA POWDERED ICE EATING MATCHA ASMR & ماتشا مثلج الأكل & MATCHA PASTE MUKBANG 🍵🤤20,No,11 hours,matchaiceeating #iceeating #iceeatingasmr #asmr #crunchice #crystalice #cruncheating #softice #buzyemevideoları #buzyemek ...,2024-01-24 23:20:17.476763
/watch?v=MiGgfGgizc4&pp=ygUGbWF0Y2hh,/@pilyaasmr541,PASSION FRUIT ICE & MATCHA ICE,shaved ice eating matcha ice eating,816,11 hours,iceeating #matchaice #matchaiceeating.,2024-01-24 23:20:28.551919
/shorts/t13GvgB_kzc,/@nomtasticfoods,Nomtastic Foods,EASIEST Matcha Crepe Cake Recipe 🍵🍰,11K,3 days,This is the EASIEST way to make a delicious matcha crepe cake! The key to getting this made quickly is this crepe maker (link in ...,2024-01-24 23:20:28.556382
/watch?v=neslp1gfWmI&pp=ygUGbWF0Y2hh,/@Baristarakesh,Baristarakesh,Matcha 🍵 latte art coffee tutorial #matchatea #baristarakesh #viral #latte #coffee #art,No,16 hours,Matcha latte art coffee tutorial #matchatea #baristarakesh #viral #latte #coffee #art.,2024-01-24 23:20:28.568958
/watch?v=S-cS4LKvYeU&pp=ygUGbWF0Y2hh,/@Alibabatech-rw2qo,GOLD ICE,ASMR SHAVED ICE EATING MATCHA ICE EATING MILK POWDER,924,10 hours,iceeating.,2024-01-24 23:20:28.571167
/watch?v=FkCMB9DnPSg&pp=ygUGbWF0Y2hh,/@SamuraiMatcha,Samurai Matcha,Japanese Minimalist : Comparing 10 of my favorite matcha brands,112K,1 year,"ABOUT THIS VIDEO: Since I started this Youtube channel, many people have asked many times ""There are so many varieties of ...",2024-01-24 23:20:28.574191
/shorts/0ZhHr7pUaOU,/@sarahjanebetts,Sarah Betts,I spent $39 on trying MATCHA from home,2.2M,1 year,do you like matcha?! nothing like a little DIY coffee shop @ home… I'm no starbucks though #dailyvlog #matcha #starbucks.,2024-01-24 23:20:28.577848
/watch?v=hwtEcjo2Nlg&pp=ygUGbWF0Y2hh,/@Nioteas,Nioteas TV,11 Tips to Make Your Matcha Taste Good!,51K,1 year,We'll cover all things matcha how to make matcha what you need to make matcha and more! We'll even walk you through two ...,2024-01-24 23:20:28.598528
/watch?v=Qwf603Ye0Xw&pp=ygUGbWF0Y2hh,/@zekkomatcha8775,Zekko Matcha,Coffee vs Matcha Green Tea | Matcha Benefits,165K,6 years,Thank you for watching. ♥ Vlada.,2024-01-24 23:20:28.602399
/watch?v=pqQYOGf7sBI&pp=ygUGbWF0Y2hh,/@HorizonsHealth,Horizons Health,MATCHA TEA BENEFITS - 7 Reasons to Start Drinking Matcha Tea Every Day!,54K,2 years,"Let's talk about matcha tea benefits and the reasons should start drinking matcha tea every day. In this video, w will show you 7 ...",2024-01-24 23:20:28.615226
