video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/shorts/wYH_E9_F6PM,/@Nicole_TheNomad,Nicole Renard,I have perfected the matcha latte 🍵🤌🏽 #shorts,1.2M,1 year,matcha #matchalatte #DIYmatcha This matcha recipe is PERFECT you have to try it!!! Get everything you need to make a ...,2024-01-24 23:20:28.628881
/watch?v=YgMCNDNRQYA&pp=ygUGbWF0Y2hh,/@urmomashley,ur mom ashley,trying EVERY MATCHA in NEW YORK CITY 🍵,408K,11 months,just your local girl who is obsessed with matcha (matcha brand coming soon....) in the meantime add me on IG & tiktok ...,2024-01-24 23:20:28.631452
/watch?v=gmvmsjg3SZA&pp=ygUGbWF0Y2hh,/@BestieHealth,Bestie Health,What Happens To Your Body When You Drink Matcha Tea,41K,1 year,Matcha has been getting more popular. It's everywhere. As a tea. In your lattes. As shots. Even in cakes and pastries. Matcha tea ...,2024-01-24 23:20:28.646012
/watch?v=fAkPPyodzSM&pp=ygUGbWF0Y2hh,/@cookingwithjanicarecipes,Cooking With Janica,Copycat Starbucks Iced Matcha Latte Recipe,128K,6 years,Make your own Iced Matcha Latte at home! We show you how with this easy recipe. All you need is three ingredients! Full Recipe: ...,2024-01-24 23:20:28.648683
/watch?v=DbgI7MdCqnU&pp=ygUGbWF0Y2hh,/@CleanandDeliciousDani,Clean & Delicious,Matcha 101 + How To Make a Matcha Latte,1.8M,6 years,"Learn everything you need to know about buying, storing, and working with Matcha Green Tea. This antioxidant-rich tea is super ...",2024-01-24 23:20:28.651957
/watch?v=m5jIiUw0JXk&pp=ygUGbWF0Y2hh,/@Veggiekins,Veggiekins,"Trying 8 Matcha Brands So You Don't Have To | Ep 1: Trader Joe's, Jade Leaf, Golde, Matchaful, Pique",145K,1 year,C L I C K F O R L I N K S let's be friends! ⊹ https://www.tiktok.com/@veggiekins ⊹ http://instagram.com/veggiekins ...,2024-01-24 23:20:38.082840
/watch?v=uFL136ETAwY&pp=ygUGbWF0Y2hh,/@plantcept5455,Plantcept蔬食煮义,5 Delicious Matcha Drinks to Try at Home,655K,2 years,"Today I will show you 5 different ways to enjoy matcha, these matcha drinks are delicious and simple recipes you can easily try at ...",2024-01-24 23:20:38.090613
/watch?v=yQ5TfiTYpaI&pp=ygUGbWF0Y2hh,/@MakeSushi1,Make Sushi 1,How to Make Traditional Matcha + Easy Way to Make Matcha Green Tea,1.4M,5 years,How to prepare matcha green tea the traditional way and easy way. What is Matcha? it's a finely ground young tea leave that is ...,2024-01-24 23:20:38.095879
/shorts/aLS-BhDQMnM,/@feedmeimei,feed meimei,Making Matcha Boba Pearls 🍵,1.7M,2 years,Making Matcha-Flavored Boba Easy Matcha Boba Pearls Recipe #shorts #matcha #boba #tapioca #pearls EQUIPMENT ...,2024-01-24 23:20:38.100007
/shorts/QiOomzM389s,/@msshiandmrhe,Ms Shi and Mr He,Matcha Ice Cream Mochi with Real Rice (Not glutinous rice flour),1.4M,1 year,"Matcha Ice Cream Mochi made with steamed rice. -scoop some ice cream into a plastic food wrap, shape it into an ice cream ball, ...",2024-01-24 23:20:38.107774
/shorts/hmp6TUvwjBc,/@feedmeimei,feed meimei,Making Matcha Strawberry Sago 🍓🍵,1.4M,3 months,*The links listed above may be affiliate links. SOCIALS » Vlog Channel - https://www.youtube.com/@moremeimei ...,2024-01-24 23:20:38.111164
/watch?v=pAo6I-Oydek&pp=ygUGbWF0Y2hh,/@BestieHealth,Bestie Health,7 Proven Health Benefits Of Drinking Matcha Daily,27K,2 years,"Matcha is getting a lot of buzz lately. Have you heard about it? Matcha cupcakes, matcha tea, matcha smoothies… There are so ...",2024-01-24 23:20:38.115330
/shorts/lIEgUED01Yo,/@Ethanrodecoffee,Ethan Rode,How to impress anyone - matcha edition #matcha,1.4M,3 months,How to impress literally any one matcha Edition now imagine this your friends come over for your normal Friday night get together ...,2024-01-24 23:20:38.118220
/watch?v=2DCyov2kAfs&pp=ygUGbWF0Y2hh,/@Veggiekins,Veggiekins,A Week of Matcha 🍵  7 Ways to Enjoy,1.2M,3 years,A Week of Matcha 7 Ways to Enjoy ttps://youtu.be/2DCyov2kAfs #veganrecipes #matcha #homecafe #vegan #glutenfree #nyc ...,2024-01-24 23:20:38.124520
/shorts/fzTbtSrxlNs,/@yerbamatelab,Yerba Mate Lab🧉,This Isn't Matcha.. It's Chimarrão!🧉,13M,10 months,"Chimarrão can look like matcha (and even taste like it) but it's actually unaged, fresh yerba mate that's been pounded into a fine ...",2024-01-24 23:20:38.129886
/watch?v=e9LHgP8JQoQ&pp=ygUGbWF0Y2hh,/@Nioteas,Nioteas TV,"Matcha vs Green Tea, What's the Difference? Is Matcha a type of Green Tea?",68K,2 years,"We'll cover topics like flavor, nutrition, and production methods to help you understand the unique qualities of each tea. Whether ...",2024-01-24 23:20:38.138008
/watch?v=D0kDMN5IXYQ&pp=ygUGbWF0Y2hh,/@SanneVloet,Sanne Vloet,Matcha 4x Ways | Simple AND Delicious Matcha recipes | Sanne Vloet,66K,10 months,"Matcha 4x Ways | Simple AND Delicious Matcha recipes | Sanne Vloet Hi everyone, Welcome back to another vlog! As you know ...",2024-01-24 23:20:38.142509
/watch?v=Zyi_OxSIoT4&pp=ygUGbWF0Y2hh,/@HolisticLongevity,Holistic Longevity,MATCHA 101 | How to Make Matcha Latte (with or without matcha tools),170K,3 years,"In this video I'm sharing with you what matcha green tea is, the health benefits of matcha, the difference between coffee and ...",2024-01-24 23:20:38.148175
