video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/shorts/EKtVdItHKiI,/@feedmeimei,feed meimei,The EASIEST Boba Recipe you will ever try!! 🧋✨,11M,1 year,The EASIEST BOBA RECIPE you will ever try  ✨ #shorts #boba #recipe #bubbletea #easyrecipe #homecafe I've tried/made so ...,2024-01-24 23:23:24.115920
/shorts/nC4amamioSU,/@Bento_Club,Bento Club,How to Properly Drink Milk Tea,5.2M,6 months,shorts #japan #boba.,2024-01-24 23:23:24.119185
/shorts/tHKXNgYRi3s,/@msshiandmrhe,Ms Shi and Mr He,Have you ever tried to make bubble tea in an air fryer? 🧋,784K,1 year,The brown sugar boba recipe and the air fryer milk tea recipe are here: https://msshiandmrhe.com/brown-sugar-boba/,2024-01-24 23:23:24.130175
/shorts/_idJ4wkV7Mw,/@feedmeimei,feed meimei,Making Blue Boba Pearls From Scratch 💙,8.5M,1 year,Making Blue Boba Pearls From Scratch #shorts #boba #bubbletea #homecafe #tapioca #bobatea INGREDIENTS   Butterfly ...,2024-01-24 23:23:24.133200
/shorts/JSMOhpus1mY,/@ChrisForThought,Chris Wang,how CHINESE people ACTUALLY drink bubble tea,49M,1 year,#Shorts.,2024-01-24 23:23:24.135799
/watch?v=9JA6NeA2YBU&pp=ygUNYm9iYSBtaWxrIHRlYQ%3D%3D,/@MyLockDownRasoi,My Lockdown Rasoi,How to Make BUBBLE TEA and Tapioca Pearls [Recipe] at Home,151K,2 years,Tapioca Pearls & Bubble Tea Recipe | Making Tapioca Pearls/Boba at home using tapioca flour & brown suger. This unique ...,2024-01-24 23:23:24.143549
/watch?v=Kg4wi44axbA&pp=ygUNYm9iYSBtaWxrIHRlYQ%3D%3D,/@SeonkyoungLongest,Seonkyoung Longest,Boba Milk Tea,801K,7 years,Boba Milk Tea Ingredients Makes 1 3 to 5 black tea bags 1/4 cup quick cooking boba http://amzn.to/2btlTl5 1 Tbs honey 2 Tbs ...,2024-01-24 23:23:33.275002
/watch?v=XlLF-Luwrrs&pp=ygUNYm9iYSBtaWxrIHRlYQ%3D%3D,/@feedmeimei,feed meimei,"MY FAVORITE PRODUCTS TO MAKE BOBA AT HOME! Ingredients, Glassware, Bottles + more from AMAZON!",151K,1 year,SOCIALS » Instagram - @feedmeimei » TikTok - @feedmeimei » Facebook - Feed Meimei » Twitter - @feedmeimei If you'd ...,2024-01-24 23:23:33.278292
/shorts/mRRuag8FtW0,/@ugkailin,Kailin,How to make 🍓strawberry boba🧋| from my TikTok @kailin.tv,3.3M,2 years,TikTok: www.tiktok.com/@ugkailin please do not repost Ib: @emilyfigueroa on tiktok.,2024-01-24 23:23:33.281373
/shorts/9Ohavr1_BnA,/@feedmeimei,feed meimei,My money don't jiggle but my BOBA does 🤪🧋,111M,1 year,Boba Milk Tea Pudding long video: https://youtu.be/J18iLZReVfE 2. Boba Milk Tea Pudding short video: ...,2024-01-24 23:23:33.284788
/watch?v=UrjdOpebrCU&pp=ygUNYm9iYSBtaWxrIHRlYQ%3D%3D,/@NELetsEat,N.E Let's Eat,Giant BOBA Milk Tea Mukbang | N.E Let's Eat,10M,3 years,Drink up! hehe :) Hope you enjoy this fun video of Emma and I Connect with us: Instagram @ne.letseat SISSI ‼️,2024-01-24 23:23:33.289997
/watch?v=AvQSFzH_sx8&pp=ygUNYm9iYSBtaWxrIHRlYQ%3D%3D,/@rizasri,Chao Coffee and Tea,BUBBLE TEA BASICS: HOW TO MAKE CLASSIC BUBBLE TEA - EVERYTHING YOU THINK YOU KNOW AND MORE,91K,3 years,1oz = 30ml RECIPES: 12 OZ Brewed Black Tea 120ml Creamer 2 tbsp Brown Sugar 1.5 tbsp Tapioca Pearls 16 OZ Brewed Black ...,2024-01-24 23:23:33.293004
/shorts/TmffQAaKVEE,/@richsit,richsit,Costco Boba?,299K,1 year,shorts #boba #costco.,2024-01-24 23:23:33.295998
/shorts/qLwXQACOE7Y,/@feedmeimei,feed meimei,Making Taro Milk Tea Boba Pudding🧋💜,21M,1 year,Making Taro Milk Tea Boba Pudding     #shorts #boba #bubbletea #homecafe #taro #pudding #easyrecipe #recipe #bobatea ...,2024-01-24 23:23:33.299191
/shorts/DDln7Uyi1V0,/@ChrisForThought,Chris Wang,throwing out bubble tea in front of my mom #bubbletea #boba #bbt #milktea #meme,321K,6 months,SUBSCRIBE https://bit.ly/3ghncIc Get my favorite Japanese snack boxes https://bit.ly/3QdDUuM instagram ...,2024-01-24 23:23:33.303688
/shorts/PkQSWS2XQQk,/@baochitravel,Baochi Travel,Drinking only BOBA for 24H 🧋,3.8M,1 year,boba #24hourschallenge.,2024-01-24 23:23:33.305586
/shorts/EA1skTLzBnQ,/@TiffyBooks,TIFFY BOOKS,Brown Sugar Boba (3 Ingredients ONLY!),413K,2 years,"So… I heard a Boba shortage would be happening soon, so I thought, what better time to share my 3 INGREDIENTS ONLY Brown ...",2024-01-24 23:23:33.307995
/shorts/EUN6Wicf6nQ,/@westbrouck,Mattie Westbrouck,Starbucks Sells BOBA Now?! 🧋 w Mattie Westbrouck- #shorts,3.8M,1 year,"Welcome to the official Mattie Westbrouck YouTube channel. I do vlogs, storytimes, Tiktok compilations, pranks to come and more!",2024-01-24 23:23:33.309813
/shorts/tpAB3hSDqVw,/@feedmeimei,feed meimei,Make a pretty boba drink with me 🦋💜,9M,2 years,Make a pretty boba drink with me #shorts #boba #homecafe #bubbletea #taro EQUIPMENT Milk Carton Bottle: ...,2024-01-24 23:23:33.311642
/shorts/__3wGouf0g0,/@msshiandmrhe,Ms Shi and Mr He,Wanna make bubble tea with 6 toppings for your dad?,2.9M,1 year,Bubble tea recipe: https://msshiandmrhe.com/bubble-tea/ I've also made strawberry boba before: ...,2024-01-24 23:23:33.314041
/watch?v=KfkGAq111WI&pp=ygUNYm9iYSBtaWxrIHRlYQ%3D%3D,/@SoonFilms,Soon Films 순필름,Black sugar bubble milk tea - Taiwan Street Food,2M,4 years,"Soon Films is a food channel that introduces delicious street food. So far, Introducing delicious street food from Korea, Japan, ...",2024-01-24 23:23:33.315558
/shorts/-4V9d_P7v7U,/@thembites,Them Bites,How To Make Taro Milk Tea w/ Boba From Scratch,41K,1 year,"We're making delicious Taro Milk Tea from Scratch in this video. We show you how easy it is to break down taro root, in order to ...",2024-01-24 23:23:33.317671
/shorts/QKk5lM86syA,/@ChrisForThought,Chris Wang,how Chinese people ACTUALLY drink bubble tea (part 2),6.3M,10 months,#Shorts.,2024-01-24 23:23:45.565697
/shorts/NHec0AyZB48,/@Bento_Club,Bento Club,Milk Tea Ice Cream,154K,4 days,shorts #japan #boba.,2024-01-24 23:23:45.569685
/shorts/uzbwZcc-R9w,/@feedmeimei,feed meimei,Making Peppermint Milk Tea with Mochi Ice Cream!,16M,2 years,Making Peppermint Milk Tea with Mochi Ice Cream! #shorts #boba #peppermint #holidays #christmas #homecafe #mochi ...,2024-01-24 23:23:45.572325
/shorts/xZXi4P2ewwc,/@baochitravel,Baochi Travel,Rating boba from cheap to expensive in Paris 🇫🇷,1M,1 year,boba.,2024-01-24 23:23:45.575260
/watch?v=JA4gtB97QS4&pp=ygUNYm9iYSBtaWxrIHRlYQ%3D%3D,/@foodbizph,FoodBiz PH,How to Cook Tapioca Pearls | Cooking and Preparing Tapioca Pearls for Milk Tea | Important Tips,759K,3 years,How to Cook Tapioca Pearls | Cooking and Preparing Tapioca Pearls for Milk Tea | Important Tips in Cooking and Storing of ...,2024-01-24 23:23:45.579338
/shorts/DF_lOMFFJC4,/@MyHealthyDish,MyHealthyDish,Save money make boba at home | MyHealthyDish,1.5M,1 year,And that is homemade brown sugar boba if you ever want to make homemade boba impress your kids and save some money this ...,2024-01-24 23:23:45.582692
/shorts/7YoxxMrOiIA,/@feedmeimei,feed meimei,Making Boba out of Cotton Candy 🍬🧋,48M,1 year,Making Boba out of Cotton Candy #shorts #boba #homecafe #bobatea #bubbletea #cottoncandy #candy Cotton Candy ...,2024-01-24 23:23:45.585930
/watch?v=aNdt2EbWXV4&pp=ygUNYm9iYSBtaWxrIHRlYQ%3D%3D,/@Simplistic,Simplistic,Drinking BOBA Every Hour For 24 HOURS!,699K,8 months,Simplistic - never again SOCIALS ▻ Follow Me On Instagram: https://www.Instagram.com/Simplistic ▻ Follow Me On ...,2024-01-24 23:23:45.589008
/shorts/F_74zHchyn4,/@feedmeimei,feed meimei,Making Green Thai Tea in a BOBA FLASK!,4.8M,2 years,Making Green Thai Tea in a Boba Flask! #shorts #boba #bubbletea #homecafe EQUIPMENT Green Thai Tea Tea from ...,2024-01-24 23:23:45.592393
/watch?v=xebewT6lh2k&pp=ygUNYm9iYSBtaWxrIHRlYQ%3D%3D,/@peacefulcuisine,Peaceful Cuisine,[No Music] How to make Bubble Tea,15M,8 years,"Đây là phiên bản không có nhạc của video làm trà sữa ban đầu bên dưới.
https://youtu.be/1ycCh8MGLDo ...",2024-01-24 23:23:45.598381
/shorts/_wy70_c_mmk,/@Jeanelleats,Jeanelleats,A stranger told me to get this boba milk tea,1.5M,2 years,"• • • • • • • • • • • • • • • • • • ☼ Cooking and camera gear: https://kit.co/jeanelleats (Some of these are affiliate links, and they support ...",2024-01-24 23:23:45.605670
/watch?v=ywGaXvdYwyA&pp=ygUNYm9iYSBtaWxrIHRlYQ%3D%3D,/@MindOverMunch,Mind Over Munch,How to Make BOBA MILK TEA at Home – 4 Ways!,24K,1 year,"Learn how to make boba milk tea / bubble tea at home in 4 flavors! How to make brown sugar boba tea, taro milk tea with boba, ...",2024-01-24 23:23:45.612200
/shorts/C3v-rrKHfVk,/@jolly,JOLLY,British Taxi Drivers try Boba for the first time,1.8M,10 months,... British Taxi Drivers to Bubble Tea Check out the full video on the channel https://www.youtube.com/watch?v=utkLwet-s-Q&t=7s.,2024-01-24 23:23:45.615418
